"question","category","difficulty","company","role","answer"
"What is the difference between a list and a tuple in Python?","Python","Easy","Google","Software Engineer","Lists are mutable sequences that can be modified after creation, while tuples are immutable and cannot be changed. Tuples are generally faster and use less memory. Use tuples for fixed data and lists when you need to modify the collection."
"Explain Python's GIL and its impact on multithreading.","Python","Medium","Amazon","Software Engineer","The Global Interpreter Lock (GIL) is a mutex that allows only one thread to execute Python bytecode at a time, even on multi-core systems. This limits true parallelism in CPU-bound tasks. For CPU-bound work, use multiprocessing; for I/O-bound tasks, threading or asyncio still provides performance benefits."
"How does Python's memory management work?","Python","Medium","Microsoft","Backend Engineer","Python uses reference counting as its primary memory management mechanism, supplemented by a cyclic garbage collector for handling circular references. The memory allocator manages small objects through a private heap. When an object's reference count drops to zero, its memory is immediately freed."
"What are Python decorators and how do they work?","Python","Medium","Meta","Software Engineer","Decorators are higher-order functions that wrap another function to extend or modify its behavior without changing its source code. They use the @syntax sugar and are commonly used for logging, authentication, and caching. Internally, @decorator is equivalent to func = decorator(func)."
"Explain the difference between *args and **kwargs in Python.","Python","Easy","Adobe","Software Engineer","*args allows a function to accept any number of positional arguments as a tuple, while **kwargs accepts any number of keyword arguments as a dictionary. They provide flexibility in function signatures. *args must appear before **kwargs in the function definition."
"What is a generator in Python and when would you use one?","Python","Medium","Netflix","Backend Engineer","Generators are functions that use yield instead of return, producing values lazily one at a time rather than computing all values upfront. They are memory-efficient for large sequences and infinite data streams. Use generators when working with large datasets that don't fit in memory."
"How does Python handle multiple inheritance and what is MRO?","Python","Hard","Google","Software Engineer","Python supports multiple inheritance and resolves method lookup order using the Method Resolution Order (MRO), which follows the C3 linearization algorithm. The MRO ensures consistent and predictable behavior when the same method exists in multiple parent classes. You can inspect it using ClassName.__mro__."
"What are Python context managers and how do you create one?","Python","Medium","Uber","Backend Engineer","Context managers manage resources by defining setup and teardown logic using __enter__ and __exit__ methods, typically used with the 'with' statement. They ensure proper resource cleanup such as closing files or releasing locks even if exceptions occur. You can also create them using the @contextmanager decorator with a generator function."
"What is the difference between stack and heap memory in C++?","C++","Easy","Microsoft","Software Engineer","Stack memory is automatically managed, has a fixed size, and stores local variables and function call frames with LIFO order. Heap memory is dynamically allocated using new/malloc and must be manually freed using delete/free. Stack allocation is faster but limited; heap allows flexible, larger allocations."
"Explain RAII (Resource Acquisition Is Initialization) in C++.","C++","Medium","Google","Software Engineer","RAII is a C++ programming idiom where resource management is tied to object lifetime: resources are acquired in constructors and released in destructors. This ensures deterministic cleanup even when exceptions occur. Smart pointers like unique_ptr and shared_ptr are canonical examples of RAII in modern C++."
"What is the difference between deep copy and shallow copy in C++?","C++","Medium","Amazon","Software Engineer","A shallow copy duplicates only the top-level object, copying pointers but not the data they point to, so both objects share the same underlying memory. A deep copy recursively copies all referenced data, resulting in fully independent objects. The copy constructor and assignment operator must be overridden to implement deep copy for classes with dynamic memory."
"What are virtual functions and how does vtable work in C++?","C++","Hard","Meta","Software Engineer","Virtual functions enable runtime polymorphism by allowing derived classes to override base class methods resolved at runtime. The compiler creates a vtable (virtual dispatch table) for each class with virtual functions, containing pointers to the actual implementations. Each object of such a class carries a hidden vptr pointing to its class's vtable."
"Explain move semantics and rvalue references in C++11.","C++","Hard","Apple","Software Engineer","Move semantics allow transferring ownership of resources from a temporary (rvalue) object to another object without expensive copying, using rvalue references (&&). The move constructor and move assignment operator define how resources are transferred. This significantly improves performance for containers and objects managing dynamic memory."
"Explain the time and space complexity of common sorting algorithms.","Data Structures and Algorithms","Medium","Amazon","Software Engineer","QuickSort has average O(n log n) time and O(log n) space; MergeSort is O(n log n) time and O(n) space but stable. BubbleSort and InsertionSort are O(n²) in the worst case but O(n) for nearly sorted data. HeapSort is O(n log n) with O(1) space but not cache-friendly."
"How does a hash table handle collisions?","Data Structures and Algorithms","Medium","Google","Software Engineer","Hash tables handle collisions primarily through chaining (each bucket stores a linked list of entries) or open addressing (probing for the next available slot using linear, quadratic, or double hashing). Chaining is simpler and handles high load factors better; open addressing is more cache-friendly. A good hash function minimizes collisions and distributes keys uniformly."
"What is the difference between BFS and DFS and when would you use each?","Data Structures and Algorithms","Easy","Microsoft","Software Engineer","BFS explores nodes level by level using a queue, finding the shortest path in unweighted graphs. DFS explores as deep as possible using a stack or recursion, suitable for topological sort, cycle detection, and path finding. Use BFS for shortest path problems and DFS for exhaustive search or tree traversals."
"Explain dynamic programming and the concept of overlapping subproblems.","Data Structures and Algorithms","Hard","Amazon","Software Engineer","Dynamic programming solves complex problems by breaking them into overlapping subproblems and storing results to avoid redundant computation (memoization or tabulation). It applies when problems have optimal substructure and overlapping subproblems. Classic examples include Fibonacci, knapsack, and longest common subsequence."
"What is a balanced BST and how does AVL tree maintain balance?","Data Structures and Algorithms","Hard","Google","Software Engineer","A balanced BST maintains O(log n) height to ensure efficient search, insertion, and deletion. AVL trees maintain balance by tracking the height difference (balance factor) between left and right subtrees, keeping it within [-1, 1]. When violated, single or double rotations (LL, RR, LR, RL) restore balance."
"Explain Dijkstra's algorithm and its time complexity.","Data Structures and Algorithms","Medium","Meta","Software Engineer","Dijkstra's algorithm finds the shortest path from a source to all nodes in a weighted graph with non-negative edges using a greedy approach with a min-heap. It relaxes edges by updating distances when a shorter path is found. Time complexity is O((V + E) log V) with a binary heap and O(V² ) with an adjacency matrix."
"What is a trie and what are its applications?","Data Structures and Algorithms","Medium","Google","Software Engineer","A trie (prefix tree) is a tree-based data structure where each node represents a character, and paths from root to nodes represent strings. It supports O(m) insertion, deletion, and search where m is the string length. Applications include autocomplete, spell checking, IP routing, and dictionary implementation."
"How does a union-find (disjoint set union) data structure work?","Data Structures and Algorithms","Hard","Amazon","Software Engineer","Union-Find maintains a collection of disjoint sets with two operations: find (determine which set an element belongs to) and union (merge two sets). With path compression and union by rank, both operations run in nearly O(1) amortized time. It is widely used in Kruskal's MST algorithm and cycle detection."
"Explain the four pillars of Object-Oriented Programming.","OOP","Easy","TCS","Software Engineer","The four pillars are Encapsulation (bundling data and methods, hiding internal state), Abstraction (exposing only necessary interfaces), Inheritance (deriving new classes from existing ones to reuse code), and Polymorphism (one interface, many implementations). Together they promote modular, reusable, and maintainable code design."
"What is the difference between abstraction and encapsulation?","OOP","Easy","Infosys","Software Engineer","Abstraction focuses on hiding complexity by exposing only relevant features to the user through interfaces or abstract classes. Encapsulation focuses on bundling data and methods together and restricting direct access to internal state using access modifiers. Abstraction is about what an object does; encapsulation is about how it is implemented internally."
"What is the Liskov Substitution Principle?","OOP","Medium","Microsoft","Software Engineer","The Liskov Substitution Principle states that objects of a subclass should be replaceable with objects of the superclass without altering the correctness of the program. A derived class must honor the contracts defined by its base class, including preconditions, postconditions, and invariants. Violating LSP leads to brittle inheritance hierarchies."
"Explain design patterns: Singleton, Factory, and Observer.","OOP","Medium","Amazon","Software Engineer","Singleton ensures only one instance of a class exists globally. Factory provides an interface for creating objects without specifying their exact class. Observer defines a one-to-many dependency where dependents (observers) are automatically notified when a subject's state changes. These patterns solve recurring design problems in a reusable way."
"What is the difference between composition and inheritance?","OOP","Medium","Google","Software Engineer","Inheritance creates an 'is-a' relationship where a subclass extends a parent class, reusing and overriding its behavior. Composition creates a 'has-a' relationship by including instances of other classes as fields. Composition is generally preferred as it is more flexible, avoids tight coupling, and allows behavior to be changed at runtime."
"What is ACID in databases and why is it important?","DBMS","Medium","Goldman Sachs","Backend Engineer","ACID stands for Atomicity (all-or-nothing transactions), Consistency (data moves between valid states), Isolation (concurrent transactions don't interfere), and Durability (committed changes persist). These properties ensure reliable database transactions especially in financial systems. Violating ACID can lead to data corruption or inconsistency."
"Explain the difference between OLTP and OLAP systems.","DBMS","Medium","Amazon","Data Analyst","OLTP (Online Transaction Processing) systems handle high volumes of short, frequent read/write operations optimized for current data. OLAP (Online Analytical Processing) systems are designed for complex analytical queries on large historical datasets. OLTP uses row-based storage; OLAP often uses columnar storage for efficient aggregations."
"What are database indexes and how do they improve performance?","DBMS","Medium","Microsoft","Backend Engineer","Indexes are data structures (typically B-trees or hash tables) that allow the database engine to quickly locate rows without scanning the entire table. They dramatically reduce query time for large tables but add overhead to write operations and storage. Proper indexing of frequently queried and joined columns is critical for performance."
"Explain the difference between clustered and non-clustered indexes.","DBMS","Hard","Google","Backend Engineer","A clustered index determines the physical order of data in a table; there can be only one per table, and the data rows are stored in index order. A non-clustered index is a separate structure that stores pointers to the actual data rows. Clustered indexes speed up range queries; non-clustered indexes add lookup overhead but allow multiple indexes per table."
